,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
34,Garowe,8.4061,48.4832,82.3,47,8,12.5,SO,1569736800
35,Pombal,-6.7712,-37.7989,72.72,77,13,6.33,BR,1569736800
36,Ancud,-41.8682,-73.8288,48.87,79,89,17.98,CL,1569736800
37,Torbay,47.6577,-52.727,50.85,88,84,1.68,CA,1569736800
38,Cape Town,-33.929,18.4174,60.32,89,49,40.98,ZA,1569736800
39,Mastic Beach,40.7668,-72.8521,71.53,92,100,4.14,US,1569736800
40,Pisco,-13.71,-76.203,61.12,92,3,15.03,PE,1569736800
41,Palauig,15.435,119.9045,84.71,70,75,7.9,PH,1569736800
42,Kodiak,39.9519,-94.7572,65.77,97,96,8.5,US,1569736800
43,Makakilo City,21.3469,-158.0859,81.59,80,100,21.7,US,1569736800
44,Qaanaaq,77.484,-69.3633,31.77,58,0,9.71,GL,1569736800
45,Kununurra,-15.7731,128.7388,103.32,15,0,12.8,AU,1569736800
46,Manhattan,39.1836,-96.5717,65.28,97,75,8.88,US,1569736800
47,Nuuk,64.175,-51.7356,39.58,56,26,4.61,GL,1569736800
48,Turinsk,58.0415,63.6976,37.75,64,1,9.01,RU,1569736800
49,Mataura,-46.1928,168.8643,51.93,64,45,12.88,NZ,1569736800
50,Jamestown,-33.2075,138.6035,70.45,38,4,11.01,AU,1569736800
51,Talaya,55.787,84.8935,46.33,62,100,10.56,RU,1569736800
52,Umm Kaddadah,13.6017,26.6876,84.29,53,8,9.73,SD,1569736800
53,Mahebourg,-20.4081,57.7,77.74,67,15,11.52,MU,1569736800
54,Narsaq,60.9127,-46.0453,39.85,67,48,2.86,GL,1569736800
55,Castro,-42.4824,-73.7644,41.95,91,60,9.62,CL,1569736800
56,Pombia,35.0089,24.8684,75.87,50,0,7.94,GR,1569736800
57,Baneh,35.9947,45.8843,82.49,17,0,1.3,IR,1569736800
58,Bluff,-23.58,149.0661,88.36,25,30,6.98,AU,1569736800
59,Camacha,33.0833,-16.3334,69.76,71,86,11.03,PT,1569736800
60,Los Llanos de Aridane,28.6585,-17.9183,72.95,77,40,4.43,ES,1569736800
61,Ketchikan,55.3422,-131.6462,52.16,70,29,9.06,US,1569736800
62,Praia,-20.2488,-43.8055,67.05,94,53,4.63,BR,1569736800
63,Hilo,19.7072,-155.0817,70.23,93,21,14.99,US,1569736800
64,Xining,36.6219,101.773,63.25,28,0,8.7,CN,1569736800
65,Port Elizabeth,39.3134,-74.9811,72.55,96,83,5.17,US,1569736800
66,Vaini,15.336,74.4926,87.19,62,97,4.29,IN,1569736800
67,Ostrovnoy,68.0544,39.5129,42.34,92,100,12.53,RU,1569736800
68,Itanhaem,-24.1849,-46.7922,65.84,81,42,11.25,BR,1569736800
69,Mujiayingzi,42.1167,118.7833,78.68,22,1,12.86,CN,1569736800
70,Altamont,49.3994,-98.495,44.2,55,100,10.4,CA,1569736800
71,Nome,30.0358,-94.4244,78.37,90,92,7.72,US,1569736800
72,Chapais,49.7839,-74.8569,39.01,76,99,6.49,CA,1569736800
73,Katsuura,33.9258,134.505,78.1,72,98,2.89,JP,1569736800
74,Chulman,56.8404,124.9047,33.3,85,30,9.42,RU,1569736800
75,Ucluelet,48.9414,-125.5491,55.58,65,0,9.86,CA,1569736800
76,Shahreza,32.0116,51.8652,73.13,15,0,6.53,IR,1569736800
77,Palmer,-34.8528,139.1601,61.18,65,67,10.56,AU,1569736800
78,Avarua,-21.2078,-159.775,73.04,77,20,16.2,CK,1569736800
79,Cabo San Lucas,22.8938,-109.9112,74.3,92,60,9.19,MX,1569736800
80,San Quintin,17.5427,120.5203,82.98,79,100,6.96,PH,1569736800
81,Christchurch,-43.531,172.6366,64.26,67,51,13.94,NZ,1569736800
82,East London,-33.0153,27.9116,66.69,76,100,4.54,ZA,1569736800
83,Chuy,-33.6938,-53.4562,54.23,93,0,7.96,UY,1569736800
84,Gurlan,41.8447,60.3899,64.53,17,100,11.21,UZ,1569736800
85,Butaritari,3.0707,172.7902,84.92,67,88,7.52,KI,1569736800
86,Dunedin,-45.874,170.5035,51.53,85,90,10.22,NZ,1569736800
87,Salalah,17.0149,54.0957,82.45,79,92,11.12,OM,1569736800
88,Bredasdorp,-34.5331,20.0428,61.43,93,100,13.53,ZA,1569736800
89,College,64.8569,-147.8028,43.11,67,100,3.87,US,1569736800
90,Sonqor,34.7837,47.6004,80.62,17,0,10.09,IR,1569736800
91,Sao Filipe,14.8961,-24.4956,77.44,83,16,11.18,CV,1569736800
92,Kapaa,22.0752,-159.319,76.23,86,48,8.75,US,1569736800
93,San Ramon,12.9229,-85.8385,66.2,96,100,2.93,NI,1569736800
94,Provideniya,64.4238,-173.2276,40.55,92,100,2.3,RU,1569736800
95,Sangar,63.9236,127.4668,39.65,55,0,8.77,RU,1569736800
96,Campbell River,50.0163,-125.2446,45.46,66,0,3.15,CA,1569736800
97,Mar del Plata,-46.4276,-67.5191,48.02,51,11,16.13,AR,1569736800
98,Bonavista,48.6542,-53.1104,50.58,85,100,4.23,CA,1569736800
99,Knysna,-34.0363,23.0471,61.39,96,100,2.08,ZA,1569736800
100,Altay,47.8258,88.1291,52.18,63,98,6.76,CN,1569736800
101,Talnakh,69.494,88.3908,33.94,96,100,5.7,RU,1569736800
102,Salto de Agua,-34.608,-71.4524,52.16,88,0,2.15,CL,1569736800
103,Miranda,-20.2402,-56.3845,75.46,49,0,5.75,BR,1569736800
104,Qasigiannguit,68.8201,-51.1933,34.77,77,0,4.45,GL,1569736800
105,Whitehorse,60.7216,-135.055,34.72,68,70,2.8,CA,1569736800
106,Barra do Garcas,-15.89,-52.2567,77.71,51,64,1.92,BR,1569736800
107,Banjar,-7.3694,108.5417,84.6,55,80,8.32,ID,1569736800
108,Cururupu,-1.8243,-44.873,71.89,99,36,2.68,BR,1569736800
109,Kahului,20.8894,-156.4728,79.11,82,83,14.05,US,1569736800
110,Angoche,-16.2293,39.9081,80.33,45,0,4.05,MZ,1569736800
111,Santa Vitoria do Palmar,-33.5189,-53.3681,52.83,93,0,6.22,BR,1569736800
112,Cidreira,-30.1658,-50.2184,60.39,84,0,11.54,BR,1569736800
113,Kalianget,-7.7406,113.6786,82.85,48,19,5.26,ID,1569736800
114,Fitjar,59.9173,5.3159,55.37,84,32,3,NO,1569736800
115,Kudahuvadhoo,2.6708,72.8944,82.17,70,96,8.32,MV,1569736800
116,Ambon,47.5542,-2.5567,63.58,91,83,34.83,FR,1569736800
117,Sioux Lookout,50.1001,-91.9191,38.32,81,100,1.59,CA,1569736800
118,Atuona,-9.8,-139.0334,79.83,76,0,12.75,PF,1569736800
119,Margate,-43.0274,147.2623,50.79,56,56,10.51,AU,1569736800
120,Agua Prieta,31.3246,-109.5492,63.47,68,0,5.39,MX,1569736800
121,Frutal,-20.0219,-48.9281,68.9,61,0,7.34,BR,1569736800
122,Hobart,-42.8826,147.3281,50.77,56,56,10.51,AU,1569736800
123,Yellowknife,62.4541,-114.3774,31.62,79,75,1.63,CA,1569736800
124,Matagami,9.6667,8.4,69.01,97,99,2.53,NG,1569736800
125,Constitucion,23.9912,-104.675,60.48,89,54,4.74,MX,1569736800
126,Bubaque,11.2833,-15.8334,80.42,81,47,12.21,GW,1569736800
127,Arraial do Cabo,-22.9663,-42.0245,67.3,85,100,10.98,BR,1569736800
128,Ouahigouya,13.581,-2.4177,79.25,68,86,12.59,BF,1569736800
129,Namatanai,-3.6642,152.4407,81.07,77,98,8.86,PG,1569736800
130,Tianpeng,28.8838,112.3423,91.17,29,0,2.89,CN,1569736800
131,Cairns,-16.9205,145.7719,84.15,24,0,9.01,AU,1569736800
132,Alencon,48.4333,0.0833,57.15,93,81,15.88,FR,1569736800
133,Lagos,6.4551,3.3942,74.39,94,100,2.21,NG,1569736800
134,Taloqan,36.7359,69.5353,90.68,10,0,3.56,AF,1569736800
135,Ushumun,52.7836,126.5413,49.36,31,5,8.39,RU,1569736800
136,Saskylakh,71.965,114.0939,31.25,64,62,2.75,RU,1569736800
137,Okhotsk,59.3644,143.2411,38.75,90,100,18.45,RU,1569736800
138,Plattsburgh,44.6928,-73.4557,57.09,92,60,7.2,US,1569736800
139,Mount Gambier,-37.8302,140.7843,58.3,71,84,12.06,AU,1569736800
140,Ovalle,-30.6031,-71.203,43.99,93,1,0.2,CL,1569736800
141,Port Blair,11.6667,92.75,83.43,71,1,4.9,IN,1569736800
142,Dikson,73.5069,80.5464,31.14,90,93,6.71,RU,1569736800
143,Nikolskoye,59.7035,30.7861,46.71,89,18,7.23,RU,1569736800
144,Maldonado,-34.9088,-54.9583,54.13,85,0,14.14,UY,1569736800
145,Hasaki,35.7333,140.8333,86.2,49,81,7.87,JP,1569736800
146,Date,42.5278,140.9261,68.88,79,91,3.31,JP,1569736800
147,Dos Hermanas,37.2815,-5.921,65.32,38,0,1.83,ES,1569736800
148,Clyde River,70.4692,-68.5915,35.08,98,100,3.09,CA,1569736800
149,Bam,29.106,58.3566,81.11,18,0,1.99,IR,1569736800
150,Santiago de Cao,-7.9605,-79.2381,60.4,93,5,9.42,PE,1569736800
151,Puerto Madryn,-42.773,-65.0367,59.87,42,0,12.08,AR,1569736800
152,Severo-Kurilsk,50.6789,156.125,49.97,94,85,6.08,RU,1569736800
153,Petauke,-14.2502,31.3331,80.48,16,22,1.39,ZM,1569736800
154,Saldanha,41.4184,-6.5524,54.77,54,49,1.9,PT,1569736800
155,Marsh Harbour,26.5383,-77.0611,78.84,78,17,19.69,BS,1569736800
156,Kieta,-6.2167,155.6333,84.04,75,70,10.04,PG,1569736800
157,Venado Tuerto,-33.7455,-61.9682,59.49,86,0,9.62,AR,1569736800
158,Sabang,13.7975,121.1096,88.84,66,89,10.38,PH,1569736800
159,Tieling,42.2896,123.8394,73.55,40,22,5.57,CN,1569736800
160,Tahoua,14.8899,5.2621,84.76,44,7,7.4,NE,1569736800
161,Beringovskiy,63.05,179.3167,39.73,91,100,5.01,RU,1569736800
162,Norman Wells,65.2824,-126.8328,38.88,56,100,5.46,CA,1569736800
163,Flinders,-34.581,150.846,63.12,46,46,5.14,AU,1569736800
164,Kisangani,0.5184,25.2057,70.99,99,100,1.9,CD,1569736800
165,Kerrville,30.0474,-99.1404,75.83,91,16,16.06,US,1569736800
166,San Cristobal,14.6765,-86.9185,67.3,92,93,3,HN,1569736800
167,Cherskiy,68.75,161.3,32.65,74,97,7.56,RU,1569736800
168,Sao Gabriel da Cachoeira,-0.1303,-67.0892,75.29,80,75,1.41,BR,1569736800
169,Kaitangata,-46.2818,169.8464,49.63,72,90,4.29,NZ,1569736800
170,Georgetown,6.8026,-58.1629,78.05,86,2,3.58,GY,1569736800
171,Upernavik,72.7868,-56.1549,40.63,70,59,8.39,GL,1569736800
172,Tual,-5.6667,132.75,78.19,84,100,15.37,ID,1569736800
173,Hovd,63.8339,10.6972,48.83,95,100,1.95,NO,1569736800
174,Rawson,-43.2992,-65.1057,58.95,38,0,19.46,AR,1569736800
175,Udalguri,26.7504,92.0977,63.74,87,100,2.64,IN,1569736800
176,Ambilobe,-13.1945,49.05,86.87,50,60,11.16,MG,1569736800
177,Iqaluit,63.7494,-68.5219,39.52,93,82,4.94,CA,1569736800
178,Mysen,59.5557,11.3232,49.12,95,100,3.2,NO,1569736800
179,Qaqortoq,60.7167,-46.0334,39.85,67,48,2.86,GL,1569736800
180,Rawlins,41.7911,-107.2387,60.05,46,43,18.3,US,1569736800
181,Kirakira,-10.4569,161.9202,83.2,78,96,7.11,SB,1569736800
182,Poum,41.2813,20.7117,58.12,69,29,1.12,MK,1569736800
183,Ribeira Grande,38.5167,-28.7001,72.86,87,9,23.85,PT,1569736800
184,Bhimunipatnam,17.8833,83.4333,84.42,89,100,0.78,IN,1569736800
185,Sarkand,45.4083,79.9138,69.71,35,100,4.59,KZ,1569736800
186,Ekibastuz,51.7229,75.317,44.53,59,98,21.25,KZ,1569736800
187,Riyadh,24.632,46.7151,96.15,21,0,5.28,SA,1569736800
188,Saint Stephen,45.7027,-94.2745,50.45,70,95,10.6,US,1569736800
189,Carballo,43.2134,-8.6889,64.3,90,63,30.2,ES,1569736800
190,Pacific Grove,36.6174,-121.9156,60.07,66,0,23.04,US,1569736800
191,Alvaraes,-3.2209,-64.8042,74.86,77,86,2.26,BR,1569736800
192,Coromoro,6.2956,-73.0408,60.53,97,100,2.44,CO,1569736800
193,Sitka,37.175,-99.6516,67.5,90,37,14.61,US,1569736800
194,Waterloo,8.339,-13.0696,79.04,85,85,4.23,SL,1569736800
195,Egvekinot,66.3167,-179.1667,33.97,97,98,1.88,RU,1569736800
196,Khatanga,71.9801,102.4743,35.1,53,60,6.04,RU,1569736800
197,Barcelos,-0.973,-62.9257,73.76,94,99,2.24,BR,1569736800
198,Ponta Delgada,37.7333,-25.6667,72.58,87,18,19.48,PT,1569736800
199,Komsomolskiy,67.5537,63.776,31.55,94,100,15.39,RU,1569736800
200,Alice Springs,-23.6984,133.8813,92.08,12,45,8.59,AU,1569736800
201,Kanash,55.5086,47.4956,41.13,72,100,6.8,RU,1569736800
202,Saint-Augustin,45.6256,-73.9796,50.34,92,8,7.9,CA,1569736800
203,Pevek,69.7028,170.2747,33.03,97,100,24.94,RU,1569736800
204,Faya,18.3851,42.4509,92.05,40,77,7.2,SA,1569736800
205,Rokupr,9.0129,-12.9488,74.54,96,100,1.7,SL,1569736800
206,Tazovskiy,67.4667,78.7,32.13,89,99,1.72,RU,1569736800
207,Touros,-5.1989,-35.4609,77.13,78,31,21.72,BR,1569736800
208,Rio Grande,-32.0335,-52.0992,59.36,96,1,3.62,BR,1569736800
209,Airai,-8.9266,125.4092,83.11,51,57,5.7,TL,1569736800
210,Vardo,39.6165,-77.7392,68.9,93,83,2.77,US,1569736800
211,Kargil,34.5594,76.1256,51.62,33,8,3.69,PK,1569736800
212,Puerto Escondido,15.8624,-97.0717,74.39,97,100,10.71,MX,1569736800
213,Victoria,5.2785,115.2423,86.79,69,31,5.03,BN,1569736800
214,Port Augusta,-32.4909,137.764,73.24,28,17,13.51,AU,1569736800
215,Arawa,-3.9338,119.7478,83.2,72,33,14.36,ID,1569736800
216,Coihaique,-45.5753,-72.0662,36.16,99,100,6.08,CL,1569736800
217,Kapit,2.0165,112.9399,83.52,88,91,2.82,MY,1569736800
218,Katobu,-4.9409,122.5276,91.17,38,53,4.74,ID,1569736800
219,Leningradskiy,69.3833,178.4167,36.92,77,99,4.45,RU,1569736800
220,Logten,56.2746,10.3118,53.8,92,35,11.36,DK,1569736800
221,Burns Lake,54.2332,-125.7638,27.59,68,21,7.23,CA,1569736800
222,Ahuimanu,21.4447,-157.8378,79.61,82,100,6.85,US,1569736800
223,Roccastrada,43.0099,11.1665,65.23,89,1,3.83,IT,1569736800
224,Hay River,60.8156,-115.7867,40.66,65,19,11.34,CA,1569736800
225,Noormarkku,61.5927,21.8685,46.98,95,100,6.15,FI,1569736800
226,Avera,33.194,-82.5271,72.52,89,0,3.96,US,1569736800
227,Road Town,18.4167,-64.6167,82.93,72,100,7.18,VG,1569736800
228,Warrington,53.3899,-2.5944,58.12,93,100,6.76,GB,1569736800
229,Lavrentiya,65.5842,-170.989,36.92,93,100,2.73,RU,1569736800
230,Kavieng,-2.5745,150.7967,84.73,62,27,5.1,PG,1569736800
231,Verkhnetulomskiy,68.6067,31.7975,36.77,98,100,12.84,RU,1569736800
232,Portland,43.661,-70.2549,61.97,96,100,4.88,US,1569736800
233,Oranjestad,12.524,-70.0271,83.48,79,82,15.55,AW,1569736800
234,Caserta,41.0821,14.3347,69.52,82,0,3.11,IT,1569736800
235,Linhai,28.8602,121.1419,90.9,46,0,1.66,CN,1569736800
236,Ambulu,-8.3451,113.6058,74.65,90,3,23.47,ID,1569736800
237,Mattru,7.6244,-11.8333,72.72,97,97,1.92,SL,1569736800
238,Liverpool,53.4055,-2.9806,58.12,93,100,6.76,GB,1569736800
239,Broken Hill,-31.9651,141.4511,75.26,25,0,10.76,AU,1569736800
240,Ljungby,56.8326,13.936,52.48,94,86,7.29,SE,1569736800
241,Ust-Ilimsk,57.9595,102.7342,38.92,67,100,12.55,RU,1569736800
242,Sibolga,1.737,98.7846,81.74,78,92,12.28,ID,1569736800
243,Mishkino,56.2222,46.615,42.37,67,100,3.36,RU,1569736800
244,Sao Joao da Barra,-21.6403,-41.0512,66.35,89,91,4.18,BR,1569736800
245,Bako,12.286,-0.7261,75.11,85,0,9.53,BF,1569736800
246,Tommot,58.9685,126.2669,39.94,52,32,5.99,RU,1569736800
247,Kurchum,48.5722,83.6542,57.4,65,100,1.97,KZ,1569736800
248,Souillac,45.6006,-0.6,59.53,88,18,11.45,FR,1569736800
249,Husavik,50.5623,-96.9949,43.06,67,100,8.63,CA,1569736800
250,Mindelo,41.3135,-8.723,61.25,78,57,7.74,PT,1569736800
251,Benicarlo,40.4165,0.4271,56.61,71,40,2.57,ES,1569736800
252,The Valley,18.217,-63.0579,82.2,72,80,5.57,AI,1569736800
253,San Andres,13.3235,122.6774,86.04,65,90,10.2,PH,1569736800
254,Kailua,21.3936,-157.7438,79.61,82,100,6.85,US,1569736800
255,Buala,-8.1456,159.593,83.34,75,82,12.39,SB,1569736800
256,Verkhnyaya Inta,65.9884,60.3234,36.56,94,100,13.2,RU,1569736800
257,Puerto Ayora,-0.7394,-90.3518,67.17,85,0,3.71,EC,1569736800
258,Presidente Medici,-11.1753,-61.9014,74.21,83,98,1.97,BR,1569736800
259,Nishihara,35.7387,139.5312,88.7,26,77,5.1,JP,1569736800
260,Aasiaat,68.7098,-52.8699,34.51,85,15,3.42,GL,1569736800
261,Linxia,35.5959,103.2108,69.98,26,0,6.73,CN,1569736800
262,Sabya,17.15,42.6167,90.85,62,74,6.69,SA,1569736800
263,Thompson,55.7433,-97.8635,28.18,84,17,5.55,CA,1569736800
264,Morondava,-20.2954,44.2798,72.36,65,0,2.21,MG,1569736800
265,Opuwo,-18.0559,13.8371,66.31,51,7,0.6,NA,1569736800
266,Kologriv,58.8255,44.3113,38.47,72,100,4.59,RU,1569736800
267,Izhma,65.0087,53.9083,42.35,95,100,7.47,RU,1569736800
268,Cayenne,4.9371,-52.3259,77.58,88,0,5.08,GF,1569736800
269,Juneau,58.3019,-134.4198,42.08,48,21,5.17,US,1569736800
270,Detchino,54.8093,36.3071,45.31,94,100,10.51,RU,1569736800
271,Fortuna,40.5974,-124.1561,55.08,83,0,16.06,US,1569736800
272,Namibe,-15.1902,12.1531,67.72,85,99,7.85,AO,1569736800
273,Lufilufi,-13.8745,-171.5986,85.5,78,0,23.98,WS,1569736800
274,Beyneu,45.3214,55.1862,55.91,57,100,8.25,KZ,1569736800
275,Half Moon Bay,37.4636,-122.4286,56.86,62,0,28.63,US,1569736800
276,Vostok,46.448,135.8294,59.56,67,87,8.75,RU,1569736800
277,Laguna,16.1684,-88.941,78.44,98,69,2.3,BZ,1569736800
278,Orotukan,62.2623,151.6749,27.14,93,100,3.27,RU,1569736800
279,Haines Junction,60.7527,-137.5101,30.44,49,85,2.93,CA,1569736800
280,Aden,12.7896,45.0285,89.73,56,97,9.44,YE,1569736800
281,Baruun-Urt,46.6808,113.2846,67.36,40,41,12.71,MN,1569736800
282,Santa Ana,30.5437,-111.1213,76.18,59,0,5.08,MX,1569736800
283,Itupiranga,-5.1338,-49.3322,77.81,86,55,3.31,BR,1569736800
284,Kondinskoye,59.6518,67.4118,36.61,73,12,10.07,RU,1569736800
285,Maragogi,-9.0119,-35.2226,72.27,87,89,5.26,BR,1569736800
286,Matara,-3.4812,29.4807,62.41,64,83,5.12,BI,1569736800
287,Hofn,64.2539,-15.2082,35.12,93,94,13.49,IS,1569736800
288,Mayo,63.5927,-135.8962,30.94,72,54,1.01,CA,1569736800
289,Ponta do Sol,-20.6335,-45.9989,62.21,85,15,4.7,BR,1569736800
290,Mayya,61.7422,130.2812,41.68,61,39,11.54,RU,1569736800
291,Blagnac,43.6434,1.378,57.26,84,0,6.73,FR,1569736800
292,Gizo,31.8041,34.9381,77.42,68,27,2.39,IL,1569736800
293,Pangkalanbuun,-2.6834,111.6167,90.72,48,68,4.47,ID,1569736800
294,Ilhabela,-23.7781,-45.3581,66.73,79,89,12.62,BR,1569736800
295,Fairbanks,64.8378,-147.7167,42.85,67,100,3.87,US,1569736800
296,Eydhafushi,5.1033,73.0708,82.26,69,83,5.26,MV,1569736800
297,Saint-Michel-des-Saints,46.6786,-73.9177,42.89,94,10,5.7,CA,1569736800
298,Rio Claro,-22.4109,-47.5609,60.44,91,0,5.86,BR,1569736800
299,Ahipara,-35.1665,173.1562,64.56,84,47,17.11,NZ,1569736800
300,Nemuro,43.3236,145.575,66.89,73,18,13.56,JP,1569736800
301,Luderitz,-26.6481,15.1594,56.45,87,96,6.71,NA,1569736800
302,Yelizovo,53.1865,158.3837,53.46,71,99,5.06,RU,1569736800
303,Vestmannaeyjar,63.4427,-20.2734,48.11,87,0,3.09,IS,1569736800
304,Grindavik,63.8424,-22.4338,47.36,75,0,9.78,IS,1569736800
305,Catuday,16.2923,119.8062,84.13,75,85,8.43,PH,1569736800
306,Ovre Ardal,61.3167,7.8,38.02,91,100,1.14,NO,1569736800
307,Winslow,51.9444,-0.882,60.17,89,100,17.72,GB,1569736800
308,Marawi,8.0035,124.2866,84.15,71,86,5.46,PH,1569736800
309,Virginia Beach,36.853,-75.9775,77.51,77,68,12.01,US,1569736800
310,Baza,37.4889,-2.771,62.66,58,0,1.12,ES,1569736800
311,Yar-Sale,66.8333,70.8333,35.26,70,59,5.5,RU,1569736800
312,Saint Anthony,43.9663,-111.6822,45.79,85,100,6.13,US,1569736800
313,Saint George,39.4548,22.34,69.75,58,0,0.29,GR,1569736800
314,Inta,66.0397,60.1316,36.56,94,100,13.2,RU,1569736800
315,Cabedelo,-6.9733,-34.8352,74.91,76,83,6.78,BR,1569736800
316,Muravlenko,63.7948,74.4969,34.85,68,95,1.12,RU,1569736800
317,Longyearbyen,78.2198,15.6349,24.04,76,25,11.41,NO,1569736800
318,Ilulissat,69.2167,-51.1,40.25,69,0,4.83,GL,1569736800
319,Minab,27.1483,57.0737,95.59,58,12,9.71,IR,1569736800
320,Esmeraldas,-19.7614,-44.3146,65.57,90,77,9.24,BR,1569736800
321,Sisimiut,66.9395,-53.6735,44.26,59,5,10.89,GL,1569736800
322,Rorvik,64.8621,11.2373,51.43,89,98,15.19,NO,1569736800
323,Siguiri,11.419,-9.1746,71.59,92,69,1.83,GN,1569736800
324,Luzhou,28.8871,105.4463,86.76,42,0,2.68,CN,1569736800
325,Yulara,-25.2411,130.9869,94.57,11,63,11.14,AU,1569736800
326,Oussouye,12.489,-16.5433,80.06,83,19,14,SN,1569736800
327,Solnechnyy,50.7238,136.6401,52.24,46,0,16.04,RU,1569736800
328,Tiksi,71.6366,128.8685,31.37,68,43,8.99,RU,1569736800
329,Teguldet,57.3064,88.1672,45.18,63,21,5.1,RU,1569736800
330,Villamontes,-21.2587,-63.4727,73.94,38,0,4,BO,1569736800
331,Vao,59.1018,26.1904,52.45,93,100,8.72,EE,1569736800
332,Huilong,31.1549,106.4976,83.7,45,37,4.79,CN,1569736800
333,Bull Savanna,17.8868,-77.5903,82.57,78,14,3.89,JM,1569736800
334,Taltal,-25.408,-70.4859,49.7,89,62,4.81,CL,1569736800
335,Tekkali,18.6167,84.2333,79.36,85,100,0.47,IN,1569736800
336,Adrar,27.8734,-0.2875,86.65,18,29,9.1,DZ,1569736800
337,Ritchie,-29.0275,24.6,67.73,11,50,12.53,ZA,1569736800
338,Sisophon,13.5884,102.97,88.25,61,51,6.24,KH,1569736800
339,Zabol,31.0278,61.4948,102.06,5,0,2.62,IR,1569736800
340,Santana do Livramento,-30.8895,-55.5318,54.07,96,0,7.76,BR,1569736800
341,Broome,52.4688,1.4544,59.49,90,93,19.53,GB,1569736800
342,Bodden Town,19.2833,-81.25,84.69,78,0,9.44,KY,1569736800
343,Bulawayo,-20.1561,28.5887,72.59,13,0,5.28,ZW,1569736800
344,Camargo,27.6866,-105.1707,73.75,66,97,10.29,MX,1569736800
345,Atasu,48.6814,71.6433,41.6,60,100,10.71,KZ,1569736800
346,Malanje,-9.5439,16.3475,67.66,84,100,6.73,AO,1569736800
347,Isangel,-19.55,169.2667,79.52,81,70,5.68,VU,1569736800
348,Bardsir,29.9284,56.5717,78.14,16,0,3.98,IR,1569736800
349,Itarema,-2.9248,-39.9167,76.73,78,31,9.75,BR,1569736800
350,Scarborough,54.2848,-0.4091,53.42,93,100,19.84,GB,1569736800
351,Lompoc,34.6392,-120.458,58.77,65,0,25.59,US,1569736800
352,Beisfjord,68.3751,17.5988,38.19,89,100,7.63,NO,1569736800
353,Sebezh,56.2893,28.4826,51.77,93,100,5.93,RU,1569736800
354,Karratha,-20.7371,116.8479,93.35,15,0,18.79,AU,1569736800
355,Zhigansk,66.7656,123.3741,37.3,56,32,3.24,RU,1569736800
356,Gao,16.2788,-0.0413,86.72,34,0,11.43,ML,1569736800
357,Gravdal,59.7913,5.7785,51.86,84,37,3.4,NO,1569736800
